"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"860Z200US01929","ZCTA5 01929","156442","22662",
"860Z200US01930","ZCTA5 01930","83883","5521",
"860Z200US01937","ZCTA5 01937","-","**",
"860Z200US01938","ZCTA5 01938","138750","15795",
"860Z200US01940","ZCTA5 01940","173214","23903",
"860Z200US01944","ZCTA5 01944","206389","43757",
"860Z200US01945","ZCTA5 01945","179583","27830",
"860Z200US01949","ZCTA5 01949","167402","28705",
"860Z200US01950","ZCTA5 01950","139625","21347",
"860Z200US01951","ZCTA5 01951","182684","75561",
"860Z200US01952","ZCTA5 01952","93361","5840",
"860Z200US01960","ZCTA5 01960","96501","3726",
"860Z200US01965","ZCTA5 01965","250,000+","***",
"860Z200US01966","ZCTA5 01966","96250","15271",
"860Z200US01969","ZCTA5 01969","132734","32311",
"860Z200US01970","ZCTA5 01970","85041","5183",
"860Z200US01982","ZCTA5 01982","132571","16255",
"860Z200US01983","ZCTA5 01983","195718","15683",
"860Z200US01984","ZCTA5 01984","194781","32680",
"860Z200US01985","ZCTA5 01985","179500","27254",
"860Z200US02019","ZCTA5 02019","125307","10415",
"860Z200US02021","ZCTA5 02021","143381","9210",
"860Z200US02025","ZCTA5 02025","199306","53082",
"860Z200US02026","ZCTA5 02026","128955","9667",
"860Z200US02030","ZCTA5 02030","250,000+","***",
"860Z200US02032","ZCTA5 02032","180682","29507",
"860Z200US02035","ZCTA5 02035","115833","9343",
"860Z200US02038","ZCTA5 02038","145773","9492",
"860Z200US02043","ZCTA5 02043","178390","14719",
"860Z200US02045","ZCTA5 02045","115485","14015",
"860Z200US02047","ZCTA5 02047","106333","57561",
"860Z200US02048","ZCTA5 02048","125273","15179",
"860Z200US02050","ZCTA5 02050","126241","8320",
"860Z200US02052","ZCTA5 02052","235800","31636",
"860Z200US02053","ZCTA5 02053","173750","18469",
"860Z200US02054","ZCTA5 02054","155996","8817",
"860Z200US02056","ZCTA5 02056","200720","21984",
"860Z200US02061","ZCTA5 02061","188699","24745",
"860Z200US02062","ZCTA5 02062","107030","11136",
"860Z200US02066","ZCTA5 02066","136689","16500",
"860Z200US02067","ZCTA5 02067","192314","18525",
"860Z200US02071","ZCTA5 02071","213885","4490",
"860Z200US02072","ZCTA5 02072","104794","5793",
"860Z200US02081","ZCTA5 02081","156250","12590",
"860Z200US02090","ZCTA5 02090","223125","33149",
"860Z200US02093","ZCTA5 02093","151676","17394",
"860Z200US02108","ZCTA5 02108","212928","81934",
"860Z200US02109","ZCTA5 02109","158843","30537",
"860Z200US02110","ZCTA5 02110","138438","68527",
"860Z200US02111","ZCTA5 02111","87404","25694",
"860Z200US02113","ZCTA5 02113","113314","11332",
"860Z200US02114","ZCTA5 02114","132210","19556",
"860Z200US02115","ZCTA5 02115","54991","4729",
"860Z200US02116","ZCTA5 02116","126496","10226",
"860Z200US02118","ZCTA5 02118","98224","21234",
"860Z200US02119","ZCTA5 02119","48488","5670",
"860Z200US02120","ZCTA5 02120","64289","14453",
"860Z200US02121","ZCTA5 02121","43136","9773",
"860Z200US02122","ZCTA5 02122","86150","8962",
"860Z200US02124","ZCTA5 02124","81923","10617",
"860Z200US02125","ZCTA5 02125","82953","12485",
"860Z200US02126","ZCTA5 02126","65709","13438",
"860Z200US02127","ZCTA5 02127","164387","15055",
"860Z200US02128","ZCTA5 02128","90106","8311",
"860Z200US02129","ZCTA5 02129","157247","15277",
"860Z200US02130","ZCTA5 02130","131551","9878",
"860Z200US02131","ZCTA5 02131","111006","4829",
"860Z200US02132","ZCTA5 02132","138724","11332",
"860Z200US02133","ZCTA5 02133","-","**",
"860Z200US02134","ZCTA5 02134","78679","7086",
"860Z200US02135","ZCTA5 02135","90829","4760",
"860Z200US02136","ZCTA5 02136","96737","8822",
"860Z200US02138","ZCTA5 02138","119967","9993",
"860Z200US02139","ZCTA5 02139","134586","8697",
"860Z200US02140","ZCTA5 02140","135286","10977",
"860Z200US02141","ZCTA5 02141","126522","14866",
"860Z200US02142","ZCTA5 02142","147723","28172",
"860Z200US02143","ZCTA5 02143","130753","13992",
"860Z200US02144","ZCTA5 02144","150313","11009",
"860Z200US02145","ZCTA5 02145","123755","4772",
"860Z200US02148","ZCTA5 02148","100606","6482",
"860Z200US02149","ZCTA5 02149","85218","7101",
"860Z200US02150","ZCTA5 02150","72179","7994",
"860Z200US02151","ZCTA5 02151","86969","10489",
"860Z200US02152","ZCTA5 02152","116167","10733",
"860Z200US02155","ZCTA5 02155","129700","8109",
"860Z200US02163","ZCTA5 02163","84583","55185",
"860Z200US02169","ZCTA5 02169","96290","5291",
"860Z200US02170","ZCTA5 02170","103627","8438",
"860Z200US02171","ZCTA5 02171","106885","16693",
"860Z200US02176","ZCTA5 02176","133953","14410",
